City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windiness,Country
Shiyuan,35.75,102.81,26.83,58,25,5.95,CN
Garoua,9.3,13.4,67.87,14,100,2.35,CM
Tiradentes,-21.11,-44.18,63.75,94,41,8.86,BR
Beihuaidian,39.26,117.56,44.6,26,0,4.47,CN
Maneromango,-7.2,38.78,78.8,94,40,1.68,TZ
Fuente-Álamo de Murcia,51.96,-0.49,42.46,80,40,19.46,GB
Harlington,43.12,27.78,40.33,86,0,2.73,BG
Benkovski,50.68,8.32,40.06,75,42,1.01,DE
Herborn,42.27,-4.41,45.54,87,90,17.22,ES
Frómista,42.88,24.72,43.45,93,5,4.7,BG
Obshtina Troyan,6.83,100.0,86.88,70,40,6.93,TH
Changwat Satun,51.18,14.18,39.33,79,38,6.93,DE
Burkau,45.75,9.22,52.2,82,99,5.82,IT
Lurago d'Erba,35.34,-79.04,64.22,68,90,8.21,US
Barbecue,47.91,15.94,50.4,81,20,5.82,AT
Muggendorf,40.59,-5.8,49.05,87,91,10.29,ES
Endrinal,43.7,4.03,53.42,100,100,3.36,FR
Saint-Geniès-des-Mourgues,48.71,16.37,48.38,93,99,5.82,AT
Laa an der Thaya,53.51,-2.03,42.46,81,90,18.34,GB
Mossley,43.34,-4.06,49.68,100,90,3.36,ES
Campuzano,51.23,7.53,42.84,75,100,19.46,DE
Schalksmühle,48.63,-1.39,41.14,80,20,12.75,FR
Céaux,-2.93,-44.23,78.8,94,20,0.69,BR
Rosário,54.55,9.57,41.7,81,24,26.4,DE
Berend,50.74,2.69,43.99,70,40,26.4,FR
Méteren,49.99,7.87,40.6,74,40,17.22,DE
Assmannshausen,15.35,102.74,87.8,58,41,4.7,TH
Chum Phuang,49.85,7.77,40.6,74,40,17.22,DE
Mandel,41.29,-2.27,45.54,91,100,7.23,ES
Almaluez,47.55,9.65,44.02,70,75,9.17,DE
Reutenen,53.31,-3.27,42.96,87,40,23.04,GB
Mostyn,51.32,-0.14,42.82,75,75,12.75,GB
Coulsdon,53.13,10.96,40.28,75,75,13.87,DE
Göhrde,46.59,-120.61,44.74,29,1,5.82,US
West Valley,-39.27,-65.68,77.23,64,100,14.47,AR
Choele Choel,36.3,30.14,45.66,75,100,7.85,TR
Finike,47.75,-117.4,36.1,35,75,4.7,US
Country Homes,52.08,10.48,41.99,70,75,13.87,DE
Flöthe,40.57,69.64,41.0,75,0,4.47,TJ
Taboshar,48.93,2.45,40.08,65,0,14.99,FR
Le Blanc-Mesnil,17.33,102.83,86.43,66,0,4.7,TH
Changwat Udon Thani,23.97,120.97,73.62,88,75,6.93,TW
Puli,44.85,-0.53,42.98,93,100,3.36,FR
Cenon,47.42,-0.56,37.31,80,0,3.36,FR
Sainte-Gemmes-sur-Loire,36.18,27.95,60.46,82,67,8.05,GR
Dimos Rhodes,38.67,-2.49,51.37,71,100,5.82,ES
Alcaraz,45.14,7.54,51.51,87,75,3.36,IT
San Gillio,55.52,39.2,41.0,80,75,24.61,RU
Znamenki,41.83,-70.83,42.12,75,90,9.17,US
Plymouth County,50.6,10.23,39.94,88,20,24.16,DE
Oberkatz,42.29,-7.85,44.46,81,100,8.05,ES
San Cibrao das Viñas,54.24,20.13,36.12,80,18,15.19,PL
Pieniężno,48.23,56.63,41.4,97,100,7.49,KZ
Sarykol’,50.0,5.72,37.29,91,35,13.87,BE
Arrondissement de Bastogne,46.61,6.53,44.1,70,90,11.41,CH
Penthalaz,51.32,42.77,37.99,81,100,5.99,RU
Kamenka,17.98,-67.19,73.89,81,40,3.36,PR
Pole Ojea,-30.36,-60.4,83.23,35,90,8.16,AR
Gobernador Crespo,50.63,3.06,43.72,81,40,12.75,FR
Lille,43.42,-0.67,50.13,93,90,3.36,FR
Lendresse,23.45,79.78,69.8,77,40,4.7,IN
Katangi,26.1,119.29,60.8,100,90,2.24,CN
Huada,-7.45,107.88,82.65,67,95,3.62,ID
Jayabakti,39.01,-0.31,54.82,100,40,2.39,ES
Barx,50.8,9.97,40.35,78,75,12.75,DE
Pferdsdorf,-36.93,174.58,71.46,46,55,8.05,NZ
Waiatarua,55.33,39.32,44.01,84,100,8.01,RU
Inshakovo,-7.06,-76.59,62.6,100,20,4.7,PE
Bellavista,53.76,10.33,39.88,80,75,18.34,DE
Kreis Stormarn,53.57,7.78,42.46,70,40,19.46,DE
Nawābganj,50.89,7.24,41.76,70,75,13.87,DE
Wittmund,47.97,11.52,42.91,93,100,11.41,DE
Oberscheid,37.65,-3.91,52.45,87,59,1.14,ES
Kleindingharting,50.43,8.5,40.77,60,42,14.99,DE
Fuensanta de Martos,-8.44,115.24,86.0,89,20,4.7,ID
Brandoberndorf,43.26,-3.44,50.02,100,90,3.36,ES
Badung,13.77,44.44,57.85,69,76,1.59,YE
Ramales de la Victoria,26.68,115.25,60.35,88,93,4.63,CN
Dawran,-8.2,113.62,80.47,70,12,2.75,ID
Xiaolong,39.89,18.33,44.6,93,5,1.12,IT
Dukuhsia,54.19,32.16,36.66,66,0,23.24,RU
